Month,Reported by,Falls within,Longitude,Latitude,Location,Crime type
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.019348,54.54977,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.930305,54.598533,On or near Donegall Place,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.943632,54.616586,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.93426,54.587063,On or near Upper Crescent,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.653272,54.347777,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.930851,54.601812,On or near North Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.319933,54.992245,On or near Carlisle Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.657444,54.647767,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.33899,55.023798,On or near Templemore Mews,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.948597,54.667426,On or near Elmfield Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.626407,54.665573,On or near Denevale Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.90149,54.588611,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.347128,54.456288,On or near Monbrief Walk,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.341334,54.464582,On or near Shankill Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.105998,54.699289,On or near Templeton Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.307629,54.599024,On or near James Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.231916,54.730643,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.940605,54.600811,On or near Fingals Court,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.81292,54.85133,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.925425,54.58312,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.318169,55.009671,On or near Strand Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.949824,54.57996,On or near Derryvolgie Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.924362,54.593067,On or near Eliza Street Terrace,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.934622,54.595794,On or near Howard Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.934686,54.59637,On or near Murray Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.934622,54.595794,On or near Howard Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.917961,54.617234,On or near Duncrue Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.338787,54.181339,On or near Mourne View Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.664019,54.33164,On or near Drumawill Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.322772,54.859616,On or near Maine Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.604972,54.747863,On or near Leckagh Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.540048,54.607077,On or near Mill Cottage Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.823586,54.853076,On or near St. Johns Place,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.656385,54.664531,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.786259,54.740151,On or near Craigs Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.903366,54.594268,On or near Castlereagh Place,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.345712,54.45316,On or near Ailsbury Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.931955,54.603844,On or near Union Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.915973,54.690589,On or near Monkstown Gardens,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.458442,54.818585,On or near Ballycolman Estate,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.246869,55.202574,On or near Rathlin Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.077755,54.52879,On or near Islandkelly Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.02177,54.557528,On or near Glasvey Crescent,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.543529,54.343412,On or near Breezemount,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.33856,54.178201,On or near Edward Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.087648,54.433114,On or near Edentrillick Hill,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.190843,54.720432,On or near Brookvale,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.190843,54.720432,On or near Brookvale,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.695141,54.596312,On or near Upper North Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.220542,54.705374,On or near Cedarmount,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.852256,54.592221,On or near Knockdene Park South,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.157885,54.828297,On or near Fairlands,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.905018,54.587405,On or near Rosebery Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.221514,54.731713,On or near Jura Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.972629,54.55587,On or near Ramore Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.932029,54.568813,On or near Cricklewood Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.930703,54.587335,On or near Wolseley Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.342671,54.462399,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.838852,54.862594,On or near Ballycraigy Ring,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.079322,54.529947,On or near Knightsbridge,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.157802,54.915774,On or near Brecanlea,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.849972,54.257879,On or near De Courcey Way,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.702351,54.595523,On or near West Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.752393,54.651054,On or near Millburn Close,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.928819,54.600385,On or near Rosemary Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.483898,54.816863,On or near Castletown Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.936493,54.607453,On or near Carlisle Circus,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.928221,54.608794,On or near Earl Close,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.950294,54.61342,On or near St. Columbans Court,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.954693,54.671033,On or near Church Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.352147,54.180112,On or near Hospital Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.933651,54.595113,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.880282,54.606122,On or near Larkfield Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.487582,54.543079,On or near Meadow Close,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.027407,54.547719,On or near Broom Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.242917,55.203873,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.933651,54.595113,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.929112,54.662854,On or near Rathmore Way,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.375773,54.192824,On or near Millvale Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.700563,54.599793,On or near Cedar Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.955547,54.595727,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.930296,54.585306,On or near Rugby Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.034666,55.042955,On or near Clooney Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.862847,54.414357,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.708584,54.318255,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.954923,54.668935,On or near Antrim Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.327247,55.000496,On or near Francis Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.333109,54.460516,On or near Coronation Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.286481,55.001198,On or near Seymour Gardens,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.663102,55.186333,On or near Loguestown Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.920977,54.579944,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.953835,54.600236,On or near Cupar Street Lower,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.695615,54.337165,On or near Ardenlee Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.646396,54.641865,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.701729,54.387821,On or near Ballytroddan Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.28203,54.851195,On or near Camphill Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.930334,54.599189,On or near Castle Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.346725,54.455968,On or near Taghnevan Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.806433,54.586017,On or near Gransha Walk,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.313373,54.377039,On or near Spout Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.757853,54.31361,On or near Drumcullan Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.93075,54.60014,On or near Berry Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.277867,54.860838,On or near Patrick Place,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.357676,54.952951,On or near Station View,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.712962,55.187929,On or near High Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.335466,54.466271,On or near Clara Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.883877,54.697553,On or near Farm Lodge Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.317256,54.599788,On or near Centenary Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.662538,54.645134,On or near Ballyvester Grove,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.690731,54.253055,On or near Annvale Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.966105,54.603381,On or near Cuan Parade,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.660878,55.137494,On or near Artillery Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.355168,55.014382,On or near Barrs Lane,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.876439,54.695914,On or near Glenkeen Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.690867,54.591998,On or near Greenwell Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.704625,55.166614,On or near Cappagh More Manor,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.275853,54.866425,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.045402,54.511092,On or near Market Square,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.020378,54.557541,On or near Glasvey Rise,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.609803,54.35275,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.609803,54.35275,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.792405,54.593372,On or near Brooklands Gardens,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.955704,54.618821,On or near Deerpark Mews,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.313276,54.611938,On or near Meelmore Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.696948,54.59392,On or near Frances Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.450005,54.840762,On or near Glenside,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.93426,54.587063,On or near Upper Crescent,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.317668,54.453464,On or near Irwin Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.663637,54.647302,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.933006,54.587985,On or near Botanic Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.273156,55.000948,On or near Blackthorn Manor,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.934622,54.595794,On or near Howard Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.079322,54.529947,On or near Knightsbridge,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.478763,54.790414,On or near Lismore Grove,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.220108,54.718467,On or near Castle Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.019248,54.892761,On or near Mullaghmeash Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.212964,54.716799,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.271892,54.876368,On or near Waveney Brow,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.927533,54.599788,On or near High Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.377101,54.308565,On or near Acton Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.437169,54.420596,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.90123,54.679948,On or near Abbeyglen Crescent,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.276408,54.353188,On or near Iveagh Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.315487,54.376674,On or near Breakly Way,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.980109,54.619357,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.025524,54.576449,On or near Hannahglen Heights,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.145582,54.417081,On or near Meganlis Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.280439,54.999994,On or near Winchester Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.455138,54.41063,On or near Mahon Close,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.924925,54.599348,On or near Upper Church Lane,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.437169,54.420596,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.934622,54.595794,On or near Howard Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.638603,54.362182,On or near Derrygore Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.906399,54.589729,On or near Coburg Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.918152,54.598944,On or near Rotterdam Court,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.447324,54.424609,On or near Park Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.866685,54.57934,On or near Roddens Gardens,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.702929,54.591572,On or near John Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.943632,54.616586,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.840628,54.86259,On or near Linn Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.872414,54.600574,On or near Edenvale Crescent,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.661138,54.360793,On or near Drumbreda Walk,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.14247,54.550134,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.704205,54.333681,On or near Saul Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.743767,54.637373,On or near Church Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.920489,54.584357,On or near Kinallen Court,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.661207,54.638629,On or near Rathgill Way,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.683004,54.647315,On or near Tudor Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.255361,55.206316,On or near Stroanshesk Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.823239,54.593473,On or near Ardcarn Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.268018,54.348252,On or near Rathfriland Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.92591,54.598233,On or near Victoria Square,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.928554,54.600102,On or near Winecellar Entry,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.979746,54.582944,On or near Glen Parade,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.638603,54.362182,On or near Derrygore Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.934816,54.615187,On or near Newington Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.956688,54.616178,On or near Jamaica Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.209092,54.621902,On or near Ballydonaghy Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.868589,54.232591,On or near Dundrum Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.658965,54.359511,On or near St. Brigids Hill,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.253337,55.205164,On or near Moyle Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.717826,54.327056,On or near Market Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.219462,54.713381,On or near Massereene Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.636171,54.661344,On or near Churchill Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.313351,55.025444,On or near Fortfield Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.795732,55.129748,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.30162,54.602116,On or near Drumragh Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.311989,54.98902,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.30162,54.602116,On or near Drumragh Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.678733,54.616781,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.935081,54.648454,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.755613,54.480628,On or near Prince Andrew Crescent,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.977018,54.597409,On or near Springfield Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.008579,54.06199,On or near Knockchree Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.963362,54.595086,On or near Beechmount Walk,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.716341,55.177563,On or near Seafield Park South,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.018113,54.563443,On or near Cloona Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.295091,54.830976,On or near Slaght Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.927533,54.599788,On or near High Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.700543,54.64844,On or near Ravara Gardens,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.924611,54.623153,On or near Northwood Crescent,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.350375,54.15883,On or near Chancellors Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.628382,54.667068,On or near Ballymacormick Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.460217,54.826668,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.646715,55.126477,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.961388,54.599905,On or near Springfield Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.690649,55.138671,On or near Knocklayde Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.883838,54.600829,On or near Connsbrook Avenue,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.969442,54.589519,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.289145,54.988431,On or near Pelham Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.887442,54.59489,On or near Rosebery Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.931799,54.57853,On or near Sandhurst Drive,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.925693,54.583035,On or near Jerusalem Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.318141,55.011287,On or near Phillip Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.92743,54.582939,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.025062,54.561688,On or near Laurelbank,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.93543,54.595116,On or near Glengall Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.933398,54.597974,On or near College Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.322421,55.003137,On or near Strand Road,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.955269,54.772401,On or near Burn Lodge,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.142772,54.550309,On or near ,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.939684,54.61323,On or near Brucevale Park,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.92889,54.586181,On or near University Street,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.320592,54.997629,On or near Shipquay Place,Anti-social behaviour
2022-02,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.933314,54.588629,On or near Botanic Avenue,Anti-social behaviour
